locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
217,"Experimental Primary School, Dandong",,39.887343,124.158056,158,69,35,16,28,13,-,-,0,-,-,20150318090000
218,Dandong,,40.002046,124.360479,85,49,37,31,74,12,2,-7,1018,41,2,20150318090000
1106,"minzhu bridge, Dandong , Dandong",,40.112974,124.373604,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1107,"yuanbaoshan, Dandong , Dandong",,40.146298,124.399081,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1108,"linjiang houjie, Dandong , Dandong",,40.152757,124.431745,-,-,-,-,-,-,-,-,0,-,-,20150318090000
219,"BDA, Panjin",,41.157144,122.06645,104,40,10,2,5,5,9,-11,0,20,4,20150318090000
220,"Xinglongtai, Panjin",,41.140948,122.111343,162,89,17,30,31,14,1,-9,0,42,1,20150318090000
221,"Dingxiang, Panjin",,41.16139,121.928781,82,26,34,7,11,12,6,-11,0,28,6,20150318090000
222,Panjin,,41.122089,122.076206,164,79,35,42,46,12,0,-11,0,43,2,20150318090000
223,"No.3 water company, Yingkou",,40.682052,122.385352,151,63,46,15,17,14,-,-,0,-,-,20150318090000
224,"Yingkou University, Yingkou",,40.683689,122.388285,147,63,137,19,23,14,-,-,0,-,-,20150318090000
225,"Botanical garden, Yingkou",,40.711674,122.281568,171,84,49,21,21,19,-,-,0,-,-,20150318090000
226,Yingkou,,40.668578,122.24059,164,73,75,38,41,13,3,-11,1021,22,3,20150318090000
1109,"jinghu west street, Yingkou , Yingkou",,40.653831,122.221943,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1110,"Daqing Road , Yingkou , Yingkou",,40.709181,122.28243,-,-,-,-,-,-,-,-,0,-,-,20150318090000
227,"Xishanpo, Huludao",,40.724078,120.921974,155,107,17,18,76,16,,,0,,,20150318090000
228,"Huagong hospital, Huludao",,40.755662,120.848435,158,112,22,10,20,31,,,0,,,20150318090000
229,"New district park, Huludao",,40.723415,120.853801,139,93,19,12,35,19,,,0,,,20150318090000
230,"Lianshan district governement, Huludao",,40.775488,120.872292,93,60,11,14,14,18,,,0,,,20150318090000
231,Huludao,,40.712501,120.842107,171,102,33,38,46,18,,,0,,,20150318090000
1111,"Dongcheng District , Huludao , Huludao",,40.775362,120.871706,-,-,-,-,-,-,,,0,,,20150318090000
1112,"huagong street, Huludao , Huludao",,40.758901,120.842935,-,-,-,-,-,-,,,0,,,20150318090000
232,Anshan,,41.110466,123.000147,187,112,42,35,24,12,-3,-7,1019,74,3,20150318090000
233,"Qianshan Park, Anshan",,41.033486,123.143897,152,70,44,13,8,8,-,-,0,-,-,20150318090000
234,"Tiexi, Anshan",,41.121636,122.97506,124,62,36,22,23,7,-2,-6,1019,74,5,20150318090000
235,"Taiping Station, Anshan",,41.153322,123.052433,181,100,23,21,17,9,-,-,0,-,-,20150318090000
236,"Central Station, Anshan",,41.106731,123.002736,174,86,28,18,20,12,-,-,0,-,-,20150318090000
237,"Shengou Temple, Anshan",,41.137157,123.031901,277,152,33,26,10,13,-,-,0,-,-,20150318090000
1113,"Qianshan , Anshan , Anshan",,41.014521,123.122538,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1114,"Tiexi Sandao jie, Anshan",,41.103264,122.978613,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1115,"Taiyang, Anshan",,41.094946,123.019037,-,-,-,-,-,-,-,-,0,-,-,20150318090000
238,Fushun,,41.883028,123.962984,147,63,42,23,46,18,-2,-6,1019,74,5,20150318090000
239,"Shenfu new town, Fushun",,41.804638,123.631684,137,54,19,10,10,8,2,-1,1021,81,3,20150318090000
240,"Reservoir, Fushun",,41.8464,123.802857,151,60,42,10,11,23,-,-,0,-,-,20150318090000
241,"Train Station, Fushun",,41.89726,124.017604,124,57,35,19,18,9,2,-1,1021,81,3,20150318090000
242,"Dongzhou, Fushun",,41.855578,124.044738,147,66,37,11,11,10,-,-,0,-,-,20150318090000
243,"Xinhua, Fushun",,41.888598,123.932932,119,66,26,25,12,8,-,-,0,-,-,20150318090000
244,"Wanghua, Fushun",,41.888825,123.093723,127,63,27,19,33,8,-3,-6,1018,80,2,20150318090000
1397,"Dahuofang reservoir, Fushun , Fushun",,41.885998,124.185917,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1367,"Dongzhou district, Fushun , Fushun",,41.864885,124.044353,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1368,"Wanghua district, Fushun , Fushun",,41.849112,123.815882,-,-,-,-,-,-,-,-,0,-,-,20150318090000
245,Benxi,,41.296267,123.772371,164,99,45,33,15,20,-3,-6,1018,80,2,20150318090000
246,"Weining, Benxi",,41.349663,123.826071,78,70,22,49,4,25,3,2,1017,93,3,20150318090000
247,"Occupational disease hospital, Benxi",,41.305432,123.74645,147,55,45,19,22,9,-,-,0,-,-,20150318090000
248,"Dongming, Benxi",,41.292369,123.765058,164,54,15,15,26,16,-,-,0,-,-,20150318090000
249,"Caitun, Benxi",,41.301591,123.746039,157,73,12,18,11,18,3,-2,1020,70,4,20150318090000
250,"Xihu, Benxi",,41.331332,123.773537,157,72,27,11,9,13,-,-,0,-,-,20150318090000
251,"Dayu, Benxi",,41.308091,123.818442,159,58,38,12,8,9,-,-,0,-,-,20150318090000
1116,"Xinlitun , Benxi , Benxi",,41.264104,123.811523,-,-,-,-,-,-,-,-,0,-,-,20150318090000
252,Jinzhou,,41.097169,121.132647,168,101,38,36,51,20,4,-15,1022,12,2,20150318090000
253,"Beihu Park, Jinzhou",,41.141447,121.137339,50,59,15,8,19,12,-,-,0,-,-,20150318090000
254,"Monitoring station, Jinzhou",,41.113441,121.140911,46,45,21,16,52,9,-,-,0,-,-,20150318090000
1369,"Baigu Water Plant, Jinzhou",,41.123847,121.206296,149,50,22,14,15,22,-,-,0,-,-,20150318090000
255,"Nanshan, Jinzhou",,41.570689,122.046753,50,55,19,15,53,13,-,-,0,-,-,20150318090000
1118,"BDA, Jinzhou",,40.853915,121.061756,102,79,12,13,24,15,-,-,0,-,-,20150318090000
1119,"tianan street, Jinzhou , Jinzhou",,41.124468,121.126119,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1120,"baigu street, Jinzhou, Jinzhou",,41.12214,121.21027,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1121,Chaoyang,,41.576022,120.456053,153,92,28,21,33,31,4,-19,1022,8,2,20150318090000
1389,"Longcheng Agricultural Park, Chaoyang",,41.617348,120.399685,142,78,13,6,15,34,6,-2,1016,46,1,20150318090000
257,"Landscape Management Office, Chaoyang",,41.573716,120.461652,112,58,13,6,5,20,-,-,0,-,-,20150318090000
258,"No.1 Construction company, Component factory, Chaoyang",,41.598393,120.446518,50,43,10,5,51,35,-,-,0,-,-,20150318090000
1122,"Agricultural Area, Chaoyang",,43.93968,125.247371,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1123,Tieling,,42.225197,123.732174,82,50,45,15,12,7,9,-14,1021,19,6,20150318090000
259,"Jinsha River, Tieling",,42.224895,123.732812,153,58,40,8,19,10,3,-2,1020,70,4,20150318090000
1391,"Benzhan, Tieling",,42.288504,123.85474,171,78,30,22,1,8,3,-1,1020,75,6,20150318090000
260,"Waterpark, Tieling",,42.297031,123.880748,152,72,31,16,19,8,-,-,0,-,-,20150318090000
261,"Steel Factory, Tieling",,42.24215,123.804596,160,64,24,16,9,10,3,3,1018,100,3,20150318090000
1124,"Huigong Street West , Tieling , Tieling",,42.311115,123.845614,-,-,-,-,-,-,-,-,0,-,-,20150318090000
1125,Liaoyang,,41.269312,123.24268,176,94,42,24,20,25,-3,-7,1019,74,3,20150318090000
262,"Steel Pipe Factory, Liaoyang",,41.274154,123.135012,129,61,26,32,8,24,3,2,1017,93,3,20150318090000
263,"Yuanlin Compound, Liaoyang",,41.286152,123.18415,167,81,20,12,13,-,-,-,0,-,-,20150318090000
1392,"No. 201 blood bank, Liaoyang",,41.257488,123.155844,159,81,15,13,27,14,-,-,0,-,-,20150318090000
264,"Chemical Factory, Liaoyang",,41.2025,123.218071,155,71,40,15,23,21,-,-,0,-,-,20150318090000
