locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
364,"City Monitoring Station, Rizhao",,35.388683,119.496405,161,69,24,9,5,7,7,7,1014,95,7,20150318090000
365,"Professor Garden, Rizhao",,35.462161,119.574193,76,43,38,6,5,10,-,-,0,-,-,20150318090000
366,"Vocational and Technical College, Rizhao",,35.441939,119.538187,97,54,26,9,6,9,8,8,1015,97,1,20150318090000
367,"Lanshan EPA branch, Rizhao",,35.293405,119.345716,153,71,7,22,21,13,8,8,1015,97,1,20150318090000
368,"Jinma Industrial Park, Rizhao",,35.373339,119.514108,122,91,18,5,7,6,-,-,0,-,-,20150318090000
369,Rizhao,,35.416089,119.532316,153,58,41,17,8,10,11,10,1015,96,5,20150318090000
370,"Vegetable oil factory, Laiwu",,36.205028,117.700917,194,102,36,22,17,12,-,-,0,-,-,20150318090000
371,"Nursing home, Laiwu",,36.266067,117.652769,194,106,7,37,44,22,8,5,1014,74,3,20150318090000
372,"Xinyi middle school, Laiwu",,36.245086,117.739025,183,103,4,27,11,25,12,10,1016,79,2,20150318090000
373,"Risheng International School, Laiwu",,36.208125,117.730959,198,128,9,17,11,11,-,-,0,-,-,20150318090000
374,"Gangcheng EPA, Laiwu",,36.066836,117.871823,172,95,6,35,56,30,12,10,1015,85,1,20150318090000
375,"City EPA, Laiwu",,36.228913,117.694797,179,87,14,12,17,17,12,10,1015,86,1,20150318090000
376,Laiwu,,36.213688,117.682612,195,86,18,28,22,14,7,6,1018,92,2,20150318090000
377,"Lunan Pharmaceutical Factory, Linyi",,35.061671,118.299527,175,127,15,31,13,11,-,-,0,-,-,20150318090000
378,"Yihe compound, Linyi",,35.056752,118.34739,194,146,36,30,12,15,14,13,0,92,3,20150318090000
379,"Linyi University, Linyi",,35.114777,118.293414,195,166,7,32,11,19,-,-,0,-,-,20150318090000
380,City EPA,Nanfang,35.104871,118.353518,186,149,10,31,12,11,-,-,0,-,-,20150318090000
381,"Xinguang woolen factory, Linyi",,34.981004,118.282,192,137,26,27,13,9,-,-,0,-,-,20150318090000
382,"Hongfu Baijiu Factory, Linyi",,34.998788,118.257275,225,350,10,42,46,62,12,-3,0,32,2,20150318090000
384,"Hedong insurance company, Linyi",,35.089354,118.40812,188,141,30,27,5,7,-,-,0,-,-,20150318090000
385,"Jianghua vehicule center, Linyi",,35.010082,118.435749,169,146,2,22,8,11,-,-,0,-,-,20150318090000
386,Linyi,,35.10428,118.362202,166,80,17,11,6,8,8,8,0,97,6,20150318090000
387,"Heima group, Dezhou",,37.466063,116.314134,229,150,33,24,13,20,-,-,0,-,-,20150318090000
388,"Monitoring station, Dezhou",,37.433107,116.377312,162,95,15,22,34,12,4,-2,1017,51,3,20150318090000
389,"Supervision Station, Dezhou",,37.449689,116.324709,199,156,29,15,22,18,-,-,0,-,-,20150318090000
390,"Huayu technical school, Dezhou",,37.462809,116.357559,214,141,4,30,20,16,10,9,1015,90,1,20150318090000
391,"Shuangyi group, Dezhou",,37.478848,116.316362,224,143,3,24,15,17,-,-,0,-,-,20150318090000
392,Dezhou,,37.434959,116.363366,127,74,42,17,37,13,5,-5,1019,39,4,20150318090000
393,"Dongchang District Government, Liaocheng",,36.444473,115.971733,182,96,30,18,13,20,12,10,1014,80,2,20150318090000
394,"Light Machinery Factory No. 2, Liaocheng",,36.456788,116.002383,184,107,25,17,14,17,-,-,0,-,-,20150318090000
395,"City committee communist party school, Liaocheng",,36.479537,115.989288,185,113,19,25,19,10,-,-,0,-,-,20150318090000
396,"Customs, Liaocheng",,36.431933,115.956974,104,76,14,17,19,14,10,5,1017,66,6,20150318090000
397,"Hongshun Garden, Liaocheng",,36.471124,115.960319,102,52,13,17,17,9,6,-2,1016,46,5,20150318090000
398,"BDA, Liaocheng",,36.459407,116.043621,183,109,8,20,19,13,-,-,0,-,-,20150318090000
399,Liaocheng,,36.456792,115.991051,112,62,20,15,19,16,10,5,1017,66,6,20150318090000
400,"City EPA, Binzhou",,37.38024,118.026895,190,103,42,29,33,25,-,-,0,-,-,20150318090000
401,"Beizhong new school, Binzhou",,37.38374,117.988996,185,116,73,18,24,26,12,9,1015,80,1,20150318090000
402,"No.2 water factory, Binzhou",,37.36155,118.002648,198,120,17,26,32,34,-,-,0,-,-,20150318090000
403,"Keling Chemical factory, Binzhou",,37.396138,117.943609,191,102,21,24,15,29,12,9,1015,80,1,20150318090000
404,"Yinhe logistics company, Binzhou",,37.356122,117.943326,187,135,3,28,53,16,-,-,0,-,-,20150318090000
405,"Bilin compond, Binzhou",,37.36815,117.978964,189,54,12,19,39,20,-,-,0,-,-,20150318090000
406,Binzhou,,37.382639,117.976606,99,50,33,17,20,18,3,-4,1019,49,1,20150318090000
407,"Bureau of Meteorology, Heze",,35.248625,115.428775,187,100,116,20,20,17,17,13,0,80,5,20150318090000
408,"Sewage treatment plant, Heze",,35.222517,115.531511,158,88,18,21,31,20,7,3,0,80,6,20150318090000
409,"Municipal CPPCC, Heze",,35.237125,115.480591,171,88,31,17,27,16,14,13,0,90,3,20150318090000
410,"Huarun Pharmaceutical Company, Heze",,35.261463,115.524873,183,104,13,17,18,14,-,-,0,-,-,20150318090000
411,"Heze University, Heze",,35.269706,115.460934,156,77,22,16,19,16,7,3,0,80,6,20150318090000
413,"Shiji Park, Shijiazhuang",,38.03155,114.547873,177,121,44,29,19,6,9,7,1016,87,4,20150318090000
414,"Xinan College, Shijiazhuang",,38.012764,114.473163,215,133,23,19,15,3,9,7,1017,87,4,20150318090000
415,"Chemical College, Shijiazhuang",,38.055503,114.569816,252,174,62,40,20,4,9,7,1017,87,4,20150318090000
416,"Worker hospital, Shijiazhuang",,38.051784,114.461209,272,182,44,39,23,10,9,7,1018,87,4,20150318090000
417,"Northwest Water Company, Shijiazhuang",,38.140638,114.508038,330,219,45,36,18,9,9,7,1018,87,4,20150318090000
418,"High-tech zone, Shijiazhuang",,38.040482,114.610775,293,215,23,38,20,11,9,7,1018,87,4,20150318090000
419,"Fenglong Montain, Shijiazhuang",,37.910829,114.360264,174,111,39,21,15,7,9,7,1017,87,4,20150318090000
1130,"Zhengding Unicom, Shijiazhuang",,38.159458,114.59879,134,97,7,21,29,8,11,-6,1017,30,2,20150318090000
1131,"Luancheng Communications, Shijiazhuang",,37.906534,114.638785,184,125,22,20,35,8,10,9,1013,94,2,20150318090000
1132,"Gaocheng Experimental School, Shijiazhuang",,38.039518,114.867812,187,104,25,16,24,10,10,9,1013,94,2,20150318090000
1133,"Wuji EPA, Shijiazhuang",,38.17862,114.997012,147,74,18,10,11,9,10,-6,1017,32,2,20150318090000
1134,"Shenze Power Supply Bureau, Shijiazhuang",,38.197674,115.219126,329,298,18,31,18,12,9,7,1017,87,4,20150318090000
1135,"Zhaoxian EPA, Shijiazhuang",,37.77171,114.775957,313,245,26,20,21,9,9,7,1018,87,4,20150318090000
1136,"Gaoyi County City Hall, Shijiazhuang",,37.623535,114.612729,308,6,35,30,28,14,11,7,1020,76,6,20150318090000
1137,"Zanhuang County City Hall, Shijiazhuang",,37.672898,114.398269,210,134,21,15,34,14,10,9,1013,94,2,20150318090000
1138,"Jingxing Bureau of Meteorology, Shijiazhuang",,38.038788,114.158406,282,260,16,39,37,22,10,9,1013,94,2,20150318090000
1139,"Pingshan Ye River, Shijiazhuang",,38.266657,114.210275,234,180,17,24,23,16,10,9,1013,94,2,20150318090000
420,Shijiazhuang,,38.042926,114.520834,85,46,214,11,30,4,4,-4,1018,56,2,20150318090000
421,"No. 12 middle school, Tangshan",,39.659306,118.190271,,,,,,,-,-,0,-,-,20150318090000
422,"Ceramics Company, Tangshan",,39.669255,118.225185,268,189,24,33,52,12,7,3,1017,76,3,20150318090000
423,"Commodities Bureau, Tangshan",,39.642301,118.191265,184,119,37,44,52,18,4,-3,1019,61,3,20150318090000
424,"Leidazhanzi Station, Tangshan",,39.644375,118.150383,186,115,49,40,43,30,4,-4,1018,56,2,20150318090000
425,"Supply and marketing cooperatives, Tangshan",,39.632334,118.17232,177,110,45,46,50,34,4,-3,1018,61,0,20150318090000
1140,"Guye District City Hall, Tangshan",,39.741379,118.460246,254,175,3,25,20,40,8,5,1015,81,5,20150318090000
1141,"Kaiping Stations, Tangshan",,39.675246,118.275149,258,168,9,34,51,39,8,5,1015,81,5,20150318090000
1142,"Fengnan District City Hall, Tangshan",,39.5834,118.097454,279,191,8,36,57,65,8,5,1015,81,5,20150318090000
1143,"Fengrun City Hall, Tangshan",,39.840355,118.175338,370,387,2,43,46,55,8,5,1015,81,5,20150318090000
1144,"Qianxi EPA, Tangshan",,40.153339,118.317265,309,263,4,40,53,51,8,5,1015,81,5,20150318090000
1145,"Caofeidian Xinli  Primary School, Tangshan",,39.291232,118.462182,188,112,26,20,35,16,8,5,1015,81,5,20150318090000
1146,"Zunhua EPA, Tangshan",,40.206249,117.997315,292,200,4,38,25,40,8,5,1015,81,5,20150318090000
1147,"Qianan No.1 middle school, Tangshan",,40.004248,118.717055,253,167,8,38,74,29,8,5,1015,81,5,20150318090000
1266,"Luannan County , Tangshan",,39.511132,118.686928,165,87,14,34,43,11,6,-7,1018,39,1,20150318090000
1267,"Yutian County , Tangshan",,39.908249,117.751417,346,243,3,49,37,41,8,5,1015,81,5,20150318090000
426,Tangshan,,39.632175,118.186472,184,119,37,44,52,18,4,-3,1019,61,3,20150318090000
427,"City Monitoring Station, Qinhuangdao",,39.958109,119.607773,246,152,28,35,16,20,,,0,,,20150318090000
428,"Beidaihe, Qinhuangdao",,39.829209,119.53194,97,91,16,23,48,8,,,0,,,20150318090000
429,"Shanhai Pass, Qinhuangdao",,40.019298,119.767898,200,153,24,25,29,7,,,0,,,20150318090000
430,"Contruction Plazz, Qinhuangdao",,39.943187,119.542912,197,151,10,32,14,15,,,0,,,20150318090000
431,"City government, Qinhuangdao",,39.93711,119.612769,175,132,27,7,16,7,,,0,,,20150318100000
1148,"Qinglong EPA, Qinhuangdao",,40.419223,118.958002,179,96,15,16,15,9,,,0,,,20150318100000
1149,"Changli EPA, Qinhuangdao",,39.714369,119.173237,203,130,17,29,17,11,,,0,,,20150318100000
1268,"Lulong County Bureau of Meteorology , Qinhuangdao",,39.901091,118.904857,272,166,10,31,4,15,,,0,,,20150318100000
432,Qinhuangdao,,39.936485,119.606263,149,59,48,8,16,7,,,0,,,20150318100000
433,"CongTai Park, Handan",,36.620197,114.501891,183,98,28,14,10,3,,,0,,,20150318100000
434,"City EPA, Handan",,36.618145,114.518822,182,110,26,13,5,8,,,0,,,20150318100000
435,"East Sewage Factory, Handan",,36.616064,114.548714,180,107,15,8,7,3,,,0,,,20150318100000
436,"Mine Hospital, Handan",,36.578149,114.509854,97,87,51,39,41,8,,,0,,,20150318100000
1150,"Fengfeng mine Inland Revenue Department, Handan",,36.423085,114.245994,215,105,16,12,44,29,,,0,,,20150318100000
1151,"Shexian EPA, Handan",,36.589084,113.692341,342,265,11,61,53,41,,,0,,,20150318100000
1152,"Ci County Vocational Education Center, Handan",,36.380247,114.390119,173,83,18,5,9,9,,,0,,,20150318100000
1153,"Yongnian government guesthouse, Handan",,36.783297,114.502905,175,99,5,12,14,2,,,0,,,20150318100000
1154,"Wuan BDA, Handan",,36.686223,114.269009,183,136,12,23,38,30,,,0,,,20150318100000
1085,Handan,,36.625683,114.544812,152,90,16,18,12,6,,,0,,,20150318100000
437,"Road and Bridge Corporation, Xingtai",,37.096415,114.538799,184,117,31,19,15,5,11,10,1014,86,3,20150318100000
438,"Dahuo fontain, Xingtai",,37.097563,114.488001,188,110,46,21,20,7,11,10,1014,86,3,20150318100000
439,"Xingtai Normal College, Xingtai",,37.053404,114.531819,184,123,13,24,22,6,11,10,1014,86,3,20150318100000
440,"Environment protection office, Xingtai",,37.06253,114.490985,127,85,39,22,22,5,6,-3,1020,40,2,20150318100000
1155,"Cultural centers within the mound, Xingtai",,37.293569,114.524873,182,126,13,21,39,9,14,10,1013,71,4,20150318100000
383,Xingtai,,37.071066,114.510749,153,98,42,20,36,4,6,-5,1018,30,1,20150318100000
441,"City Monitoring Station, Baoding",,38.871737,115.527103,95,56,44,24,25,11,4,-5,1018,41,1,20150318100000
442,"Surface water Company, Baoding",,38.842891,115.467326,324,318,10,38,27,16,10,6,1016,72,3,20150318100000
443,"Huadian II, Baoding",,38.896748,115.528102,336,188,33,37,16,4,10,6,1016,72,3,20150318100000
444,"Reception Center, Baoding",,38.911905,115.477301,294,308,25,35,21,-,10,6,1016,72,3,20150318100000
445,"Film Factory, Baoding",,38.876949,115.448383,289,323,43,42,31,16,10,6,1016,72,3,20150318100000
446,"Natatorium, Baoding",,38.863815,115.499212,151,74,107,21,20,8,4,-5,1018,41,1,20150318100000
1156,"Qingyuan City Hall, Baoding",,38.771758,115.502189,402,433,11,44,51,19,14,8,1012,55,5,20150318100000
1157,"Xushui EPA, Baoding",,39.025781,115.668023,370,334,11,35,21,25,14,8,1012,55,5,20150318100000
1158,"Zhuozhou Monitoring Stations, Baoding",,39.493241,116.040187,269,239,13,21,50,21,14,8,1012,55,5,20150318100000
1159,"Gaobeidian EPA, Baoding",,39.3329,115.885891,238,181,13,36,63,19,14,8,1012,55,5,20150318100000
447,Baoding,,38.874791,115.471124,147,102,89,27,18,7,8,-7,1021,20,3,20150318100000
448,"Century Compound, Zhangjiakou",,40.770279,114.909106,68,25,49,12,28,4,3,-16,1019,13,4,20150318100000
449,"North Pumping Station, Zhangjiakou",,40.874362,114.910119,114,90,45,4,19,3,3,-16,1019,13,4,20150318100000
450,"Hardware Warehouse, Zhangjiakou",,40.81232,114.887119,65,94,44,11,34,3,3,-16,1019,13,4,20150318100000
451,"Tanji Chang, Zhangjiakou",,40.796301,114.89811,211,122,46,29,43,16,5,-6,1015,34,1,20150318100000
1160,"Xiahuayuan EPA, Zhangjiakou",,40.509345,115.302442,112,100,28,24,40,4,8,-16,1017,7,3,20150318100000
1161,"Huaian EPA, Zhangjiakou",,40.68157,114.398646,151,90,34,10,38,1,8,-16,1017,7,3,20150318100000
1162,"Huailai Fuqian Primary School, Zhangjiakou",,40.422204,115.530285,82,98,31,10,12,8,8,-16,1017,7,3,20150318100000
1269,"Zhangbei EPA , Zhangjiakou",,41.166775,114.732369,119,75,31,4,4,3,8,-16,1017,7,3,20150318100000
1270,"Kangbao County Environmental Protection Agency , Zhangjiakou",,41.837866,114.591246,95,60,28,2,15,1,8,-16,1017,7,3,20150318100000
1271,"Guyuan County welfare , Zhangjiakou",,41.669984,115.687401,172,126,19,11,9,14,4,-6,1016,34,2,20150318100000
1272,"Shangyi County Environmental Protection Bureau , Zhangjiakou",,41.086638,113.984688,112,80,39,4,3,4,8,-16,1017,7,3,20150318100000
1273,"Yuxian Secondary School , Zhangjiakou",,39.84699,114.601986,109,102,36,4,4,6,8,-16,1017,7,3,20150318100000
1274,"Yang County Vocational Education Center , Zhangjiakou",,40.106343,114.134732,114,116,36,2,7,1,8,-16,1017,7,3,20150318100000
1275,"Wan county Environmental Protection Agency , Zhangjiakou",,40.770459,114.75033,102,83,36,5,7,3,8,-16,1017,7,3,20150318100000
1276,"Zhuolu County Environmental Protection Agency , Zhangjiakou",,40.374273,115.221393,93,91,32,7,8,9,8,-16,1017,7,3,20150318100000
452,Zhangjiakou,,40.825744,114.893659,200,148,47,12,12,18,7,-5,1016,31,4,20150318100000
453,"Railway, Chengde",,40.917557,117.972331,194,135,71,20,14,11,2,-7,1019,38,1,20150318100000
454,"Cultural Center, Chengde",,40.974625,117.824437,184,127,90,28,8,13,2,-7,1019,38,1,20150318100000
455,"Bank of China, Chengde",,40.985582,117.958304,89,65,48,26,22,9,2,-10,1017,27,1,20150318100000
456,"BDA, Chengde",,40.937567,117.969325,178,116,63,26,10,11,2,-7,1019,38,1,20150318100000
457,"Ligong, Chengde",,41.012579,117.94428,167,58,87,13,10,9,2,-7,1019,38,1,20150318100000
1163,"Chengde County EPA, Chengde",,40.776643,118.17646,260,186,12,24,9,25,6,2,1016,65,0,20150318100000
1164,"Xinglong County City Hall, Chengde",,40.424301,117.513488,292,191,15,44,21,34,6,2,1016,65,0,20150318100000
1165,"Luanping EPA, Chengde",,40.950792,117.350715,283,192,22,34,10,17,6,2,1016,65,0,20150318100000
1166,"Fengning County City Hall, Chengde",,41.216739,116.658037,158,141,35,16,4,14,6,2,1016,65,0,20150318100000
1277,"Longhua EPA , Chengde",,41.311956,117.739605,117,64,33,13,22,15,6,2,1016,65,0,20150318100000
458,Chengde,,40.955652,117.968737,156,81,40,29,12,12,3,-11,1019,21,0,20150318100000
459,"Municipal EPB, Cangzhou",,38.323507,116.876746,200,127,32,26,27,8,8,6,1015,87,4,20150318100000
460,"Cangxian Urban Construction Bureau, Cangzhou",,38.299495,116.890734,172,104,32,17,13,8,7,3,1020,76,5,20150318100000
461,"TV Broadcast Station, Cangzhou",,38.325525,116.863761,188,128,45,28,19,6,7,3,1018,76,5,20150318100000
1167,"Qing County City Hall, Cangzhou",,38.589643,116.815876,203,124,11,12,12,13,8,6,1015,87,4,20150318100000
1168,"Poyoushi City Hall, Cangzhou",,38.089516,116.590575,228,135,8,17,53,10,8,6,1015,87,4,20150318100000
1169,"Huanghua Finance Bureau Training Center, Cangzhou",,38.377793,117.343356,197,125,17,22,15,6,8,6,1015,87,4,20150318100000
462,Cangzhou,,38.305035,116.844625,152,68,43,46,22,7,5,-4,1020,53,1,20150318100000
463,"Environmental Monitoring Supervision Center, Langfang",,39.558157,116.720995,304,299,22,42,24,22,8,5,1015,81,5,20150318100000
464,"TCM Medical Material Company, Langfang",,39.519096,116.689914,244,157,29,40,25,20,7,3,1019,76,5,20150318100000
465,"BDA, Langfang",,39.576175,116.779041,270,163,28,34,22,18,7,3,1019,76,5,20150318100000
466,"North China Institute of Aerospace, Langfang",,39.53517,116.743027,324,246,5,42,12,-,8,5,1015,81,5,20150318100000
1170,"Guan Party School, Langfang",,39.446185,116.311026,332,289,10,43,26,27,8,5,1015,81,5,20150318100000
1171,"Xianghe EPA, Langfang",,39.76725,117.015252,336,240,9,34,27,35,8,5,1015,81,5,20150318100000
1172,"Wenan County EPA, Langfang",,38.880927,116.47001,366,315,15,45,20,24,8,5,1015,81,5,20150318100000
1173,"Three Rivers Department of Transportation, Langfang",,39.989419,117.091528,323,310,12,34,25,28,8,5,1015,81,5,20150318100000
1278,"Yongqing EPA , Langfang",,39.329071,116.510917,350,354,12,39,23,20,8,5,1015,81,5,20150318100000
1279,"Dacheng EPA, Langfang",,38.712628,116.665751,200,122,22,30,20,21,7,3,1019,76,5,20150318100000
467,Langfang,,39.539148,116.689668,99,56,38,16,12,8,4,-4,1020,56,2,20150318100000
468,"Hengshui City EPB, Hengshui",,37.739679,115.695929,215,143,59,23,11,7,13,9,0,72,5,20150318100000
469,"Environmental Monitoring Station, Hengshui",,37.738593,115.648837,232,171,21,30,24,5,13,9,0,72,5,20150318100000
470,"Electrical Machine North Factory, Hengshui",,37.758686,115.70094,200,142,45,26,28,5,13,9,0,81,3,20150318100000
1174,"Anping EPA, Hengshui",,38.238559,115.537988,205,113,32,16,10,9,13,10,0,81,1,20150318100000
1175,"Jizhou EPA, Hengshui",,37.548552,115.58679,190,122,24,16,31,8,13,10,0,81,1,20150318100000
1280,"Zaoqiang EPA, Hengshui",,37.520698,115.714936,235,6,17,12,15,10,17,5,0,45,8,20150318100000
1281,"Wuyi EPA, Hengshui",,37.801554,115.898697,223,146,22,15,17,10,13,10,0,81,1,20150318100000
1282,"Wuqiang EPA , Hengshui",,38.03557,115.959767,197,137,18,21,4,10,13,10,0,81,1,20150318100000
1283,"Raoyang EPA , Hengshui",,38.230652,115.741041,218,136,24,16,10,3,13,10,0,81,1,20150318100000
1284,"Gucheng County , Hengshui",,37.347569,115.966707,213,122,20,12,12,23,13,10,0,81,1,20150318100000
471,Hengshui,,37.739562,115.676066,91,58,46,28,26,7,6,-5,0,44,4,20150318100000
1176,"Xinji City Hall, Xinji",,37.949711,115.230084,207,128,24,13,25,8,13,10,0,81,1,20150318100000
1246,Xinji,,37.943841,115.224111,204,160,20,12,24,20,13,0,0,39,6,20150318100000
1247,Dingzhou,,38.516785,114.9963,161,102,4,50,26,13,7,-5,1018,43,1,20150318100000
472,"Fukang road, Tianjin",,39.098136,117.157621,102,50,42,25,9,16,3,-5,1018,56,1,20150318100000
473,"Nankou road, Tianjin",,39.174022,117.199688,207,137,43,27,13,9,7,3,1020,76,5,20150318100000
474,"Qinjian street, Tianjin",,39.166588,117.15104,181,135,31,20,17,9,7,3,1020,76,5,20150318100000
475,"Nanjing Road, Tianjin",,39.120958,117.195112,208,126,65,20,17,20,8,3,1021,71,5,20150318100000
476,"Dazhigu No.8 road, Tianjin",,39.111811,117.25147,194,138,13,17,8,11,8,3,1021,71,5,20150318100000
477,"Qianjin street, Tianjin",,39.09371,117.207981,134,53,42,31,19,16,4,-3,1018,61,0,20150318100000
478,"Huaihe street, Tianjin",,39.227167,117.191293,197,129,40,21,12,20,7,3,1020,76,5,20150318100000
479,"Xiangshan street, Tianjin",,39.134752,117.275125,107,72,28,48,12,15,4,-3,1019,61,3,20150318100000
480,"Yuejin Road, Tianjin",,39.088177,117.320884,72,73,27,45,2,3,4,-3,1019,61,3,20150318100000
482,"No.4 street, Tianjin",,39.035228,117.713424,194,102,24,21,9,13,8,3,1021,71,5,20150318100000
483,"Yongming road, Tianjin",,38.840392,117.463805,182,127,44,14,29,19,7,3,1018,76,4,20150318100000
484,"Xinhua street, Tianjin",,39.138671,117.010083,191,138,6,28,13,25,-,-,0,-,-,20150318100000
485,"Jingu Road, Tianjin",,38.985659,117.381254,162,115,13,40,28,12,13,-10,1013,20,2,20150318100000
486,"Tanggu Yingkou street, Tianjin",,39.021768,117.656454,175,107,12,23,6,18,8,3,1021,71,5,20150318100000
487,"Hexi Yijing road, Tianjin",,39.248392,117.798043,-,-,-,-,-,-,-,-,0,-,-,20150318100000
488,"Jianshe Road, Tianjin",,39.720075,117.310588,241,191,6,37,37,67,10,0,1021,50,8,20150318100000
489,"Quanzhou South road, Tianjin",,39.373857,117.050329,202,138,3,27,25,35,8,3,1021,71,5,20150318100000
490,"Donghuan road, Tianjin",,40.043144,117.451062,269,305,4,39,16,27,8,3,1021,71,5,20150318100000
491,"Tuanpowa, Tianjin",,38.920418,117.16299,197,139,43,20,7,14,8,3,1021,71,5,20150318100000
493,"Beiwei No.2 road, Tianjin",,38.943857,116.920624,184,136,5,38,21,21,8,3,1021,71,5,20150318100000
494,"Haitai fazhan No.2 road, Tianjin",,39.079608,117.096583,151,77,6,43,19,14,3,-5,1018,56,1,20150318100000
495,"Hangtian road, Tianjin",,39.152244,117.381309,137,59,41,37,11,9,4,-3,1018,61,0,20150318100000
496,"Hanbei road, Tianjin",,39.159768,117.770477,192,109,34,18,25,22,8,3,1021,71,5,20150318100000
497,"Baobai highway, Tianjin",,39.51757,117.349635,109,40,6,24,21,11,8,-9,1018,29,3,20150318100000
498,Tianjin,,39.085164,117.207281,93,50,42,28,7,19,5,-4,1020,53,1,20150318100000
499,"Wolong bridge, Hangzhou",,30.24371,120.132762,129,64,22,17,3,5,14,12,1014,88,0,20150318100000
500,"Hemu primary school, Hangzhou",,30.309669,120.124507,170,106,20,28,2,11,14,12,1014,88,0,20150318100000
501,"Zhejiang Agricultural University, Hangzhou",,30.265601,120.197583,167,94,24,20,3,7,13,11,1014,88,0,20150318100000
502,"Xiasha, Hangzhou",,30.303516,120.352618,159,80,21,30,12,6,14,12,1014,88,0,20150318100000
503,"Yunqi, Hangzhou",,30.178555,120.093142,109,60,26,12,1,4,-,-,0,-,-,20150318100000
504,"Xixi, Hangzhou",,30.272425,120.068144,122,65,25,23,3,8,13,11,1014,88,1,20150318100000
505,"Chengxiang town, Hangzhou",,30.179493,120.274184,160,79,21,29,11,6,14,12,1014,88,0,20150318100000
506,"Qiandao lake, Hangzhou",,29.638139,119.031092,68,23,26,4,3,6,-,-,0,-,-,20150318100000
507,"Linping town, Hangzhou",,30.415948,120.305059,134,32,188,38,8,9,17,15,1006,88,1,20150318100000
508,"Fuyang monitoring station, Hangzhou",,30.048419,119.963469,187,106,21,20,11,9,-,-,0,-,-,20150318100000
509,"No.2 Middle School, Hangzhou",,30.044303,119.956356,164,106,15,17,7,10,-,-,0,-,-,20150318100000
510,"City Hall, Hangzhou",,30.234185,119.723503,153,86,17,13,5,8,17,15,1005,88,2,20150318100000
511,"No. 4 middle school, Hangzhou",,30.229428,119.699591,155,98,8,11,3,12,-,-,0,-,-,20150318100000
512,Hangzhou,,30.271756,120.159765,182,65,97,31,6,17,17,15,1006,88,1,20150318100000
513,"City Station, Wenzhou",,28.009715,120.679129,99,61,34,22,8,7,16,16,0,100,1,20150318100000
514,"Ouhai, Wenzhou",,28.001846,120.641982,109,65,33,25,6,10,23,19,0,81,2,20150318100000
515,"Longwan, Wenzhou",,27.968122,120.768393,151,61,35,26,14,12,26,21,0,74,3,20150318100000
516,"Nanpu, Wenzhou",,27.981763,120.683685,159,79,28,30,8,8,17,16,0,89,1,20150318100000
517,Wenzhou,,27.990985,120.703425,89,59,28,19,8,8,16,16,0,100,1,20150318100000
518,"Monitoring station, Jiaxing",,30.75437,120.767373,55,26,40,17,6,6,-,-,0,-,-,20150318100000
519,"Jiaxing University, Jiaxing",,30.745099,120.735004,68,28,8,31,6,7,17,16,1003,94,2,20150318100000
520,"Qinghe Primary School, Jiaxing",,30.775685,120.747969,95,62,50,41,8,10,16,16,1004,100,5,20150318100000
521,Jiaxing,,30.751627,120.762862,95,40,65,23,5,11,16,15,1005,94,2,20150318100000
522,"Chengbei water plant, Huzhou",,30.891155,120.096593,124,66,33,22,5,10,13,13,1014,100,3,20150318100000
523,"Jishan new village, Huzhou",,30.859939,120.120168,85,33,35,20,3,7,-,-,0,-,-,20150318100000
524,"Town west water plant, Huzhou",,30.862371,120.084577,107,40,29,20,5,8,13,13,1015,100,4,20150318100000
525,Huzhou,,30.892304,120.091694,152,0,38,33,3,14,17,16,1003,94,1,20150318100000
526,"Donghu middle school, Shaoxing",,29.990447,120.647547,151,70,6,27,11,7,-,-,0,-,-,20150318100000
527,"City EPA station, Shaoxing",,30.001695,120.584318,154,80,27,35,9,5,-,-,0,-,-,20150318100000
528,"Chengdong BDA committee, Shaoxing",,29.986643,120.613578,124,68,36,17,10,7,-,-,0,-,-,20150318100000
529,"Paojiang station, Shaoxing",,30.07574,120.62154,156,77,129,28,20,9,17,14,1005,82,4,20150318100000
530,"Shaoxing technical school, Shaoxing",,29.930983,120.577131,154,75,14,26,8,4,13,11,1014,88,1,20150318100000
531,"Library, Shaoxing",,29.706266,120.253183,153,69,6,17,7,13,13,11,1014,88,0,20150318100000
532,"Transporation management station, Shaoxing",,29.726405,120.221602,159,108,7,28,19,24,21,14,1011,64,1,20150318100000
533,"Dongpu Town Governement, Shaoxing",,30.049601,120.539893,171,95,9,35,27,6,13,11,1014,88,0,20150318100000
534,Shaoxing,,29.993122,120.590182,156,75,28,38,11,8,17,14,1005,82,4,20150318100000
535,"City Monitoring Station, Jinhua",,29.100031,119.690373,161,62,97,28,10,18,19,18,0,92,2,20150318100000
536,"No.15 middle school, Jinhua",,29.074022,119.652121,127,60,23,17,15,19,-,-,0,-,-,20150318100000
537,"No.4 middle school, Jinhua",,29.110109,119.653654,160,79,19,15,16,23,-,-,0,-,-,20150318100000
538,"Beiyuan, Jinhua",,29.332898,120.083351,168,84,17,16,10,12,-,-,0,-,-,20150318100000
539,"Jiangdong, Jinhua",,29.302486,120.095291,154,66,21,18,11,12,19,17,0,86,1,20150318100000
540,Jinhua,,29.076083,119.65215,179,101,84,39,11,20,18,17,0,94,1,20150318100000
